
==== AUDIT: short sol (Bot 100001) ====
Trades table: Cycle 15, Phase: IDLE, Invested: 10.3454
  [reset_cleared] tp | 0.0/6.99 @ 90.94248146 | CID: CQB_100001_TP_5_1774418340089
  [reset_cleared] adoption_reduce | 4.6600000002391955/4.6600000002391955 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774418499
  [reset_cleared] tp | 0.0/2.33 @ 90.982326180255 | CID: CQB_100001_TP_5_1774418501410
  [reset_cleared] adoption_add | 51.26000000263113/51.26000000263113 @ 92.01442060085 | CID: CQB_100001_HEAL_1774418516280
  [reset_cleared] tp | 0.0/58.25 @ 90.982326180255 | CID: CQB_100001_TP_5_1774418560728
  [reset_cleared] adoption_reduce | 55.920000004591905/55.920000004591905 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774418564
  [reset_cleared] tp | 0.0/2.33 @ 90.982326180255 | CID: CQB_100001_TP_5_1774418570467
  [reset_cleared] tp | 0.0/58.25 @ 90.982326180255 | CID: CQB_100001_TP_5_1774418770680
  [reset_cleared] adoption_reduce | 55.920000004591905/55.920000004591905 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774418772
  [reset_cleared] tp | 0.0/2.33 @ 90.982326180255 | CID: CQB_100001_TP_5_1774418777727
  [reset_cleared] tp | 0.0/2.33 @ 91.12976824034 | CID: CQB_100001_TP_5_1774418947994
  [reset_cleared] tp | 0.0/58.25 @ 91.12976824034 | CID: CQB_100001_TP_5_1774418987788
  [reset_cleared] adoption_reduce | 55.920000004591905/55.920000004591905 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774419194
  [reset_cleared] adoption_add | 223.68000001836762/223.68000001836762 @ 92.00968271 | CID: CQB_100001_HEAL_1774419205329
  [reset_cleared] adoption_reduce | 55.920000004591905/55.920000004591905 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774419213
  [reset_cleared] tp | 0.0/281.93 @ 91.12976824034 | CID: CQB_100001_TP_5_1774419238034
  [reset_cleared] adoption_reduce | 279.6000000229291/279.6000000229291 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774419242
  [reset_cleared] adoption_reduce | 279.6000000229291/279.6000000229291 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774419243
  [reset_cleared] tp | 0.0/2.33 @ 91.12976824034 | CID: CQB_100001_TP_5_1774419246463
  [reset_cleared] tp | 0.0/281.93 @ 91.12976824034 | CID: CQB_100001_TP_5_1774419447800
  [reset_cleared] adoption_reduce | 279.6000000229291/279.6000000229291 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774419455
  [reset_cleared] tp | 0.0/2.33 @ 91.12976824034 | CID: CQB_100001_TP_5_1774419461126
  [reset_cleared] tp | 0.0/281.93 @ 91.12976824034 | CID: CQB_100001_TP_5_1774419661713
  [reset_cleared] tp | 0.0/281.93 @ 91.274841355 | CID: CQB_100001_TP_5_1774419845844
  [reset_cleared] adoption_reduce | 279.6000000229291/279.6000000229291 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774419872
  [reset_cleared] tp | 0.0/2.33 @ 91.274841355 | CID: CQB_100001_TP_5_1774419880733
  [reset_cleared] tp | 0.0/281.93 @ 91.274841355 | CID: CQB_100001_TP_5_1774420098420
  [reset_cleared] adoption_reduce | 279.6000000229291/279.6000000229291 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774420309
  [reset_cleared] tp | 0.0/2.33 @ 91.274841355 | CID: CQB_100001_TP_5_1774420316627
