=== BOT_ORDERS for KEY BOTS (all filled) ===

--- Bot 10008 (sol LONG) ---
  entry           step=1 fill=0.0600 @86.0800 status=reset_cleared cycle=22 cid=CQB_10008_ENTRY_1_1774252073631
  adoption_add    step=0 fill=0.0600 @0.0000 status=reset_cleared cycle=23 cid=CQB_10008_CARRY_1774252709218
  entry           step=1 fill=0.0600 @90.2700 status=reset_cleared cycle=23 cid=CQB_10008_ENTRY_1_1774318810200
  tp              step=1 fill=0.0600 @90.2700 status=reset_cleared cycle=23 cid=CQB_10008_TP_1_1774318824464
  adoption_add    step=0 fill=0.0600 @90.2700 status=reset_cleared cycle=24 cid=CQB_10008_CARRY_1774318825936
  entry           step=1 fill=0.0400 @90.3200 status=reset_cleared cycle=24 cid=CQB_10008_ENTRY_1_1774318861102
  adoption_add    step=0 fill=0.1000 @0.0000 status=reset_cleared cycle=25 cid=CQB_10008_CARRY_1774319053361
  entry           step=1 fill=0.0600 @89.9700 status=reset_cleared cycle=25 cid=CQB_10008_ENTRY_1_1774321943816
  adoption_reduce step=1 fill=0.0600 @0.0000 status=reset_cleared cycle=25 cid=CQB_10008_SHRINK_1774321959
  adoption_add    step=0 fill=0.1000 @0.0000 status=reset_cleared cycle=26 cid=CQB_10008_CARRY_1774321959441
  entry           step=1 fill=0.0600 @90.0400 status=reset_cleared cycle=26 cid=CQB_10008_ENTRY_1_1774322368849
  adoption_reduce step=1 fill=0.0600 @0.0000 status=reset_cleared cycle=26 cid=CQB_10008_SHRINK_1774322795
  adoption_add    step=0 fill=0.1000 @0.0000 status=reset_cleared cycle=27 cid=CQB_10008_CARRY_1774322795150
  entry           step=1 fill=0.0600 @90.1300 status=reset_cleared cycle=27 cid=CQB_10008_ENTRY_1_1774322830157
  adoption_reduce step=1 fill=0.0600 @0.0000 status=reset_cleared cycle=27 cid=CQB_10008_SHRINK_1774323011
  adoption_add    step=0 fill=0.1000 @0.0000 status=reset_cleared cycle=28 cid=CQB_10008_CARRY_1774323011423
  entry           step=1 fill=0.0600 @90.1500 status=reset_cleared cycle=28 cid=CQB_10008_ENTRY_1_1774323045734
  adoption_reduce step=1 fill=0.0600 @0.0000 status=reset_cleared cycle=28 cid=CQB_10008_SHRINK_1774323225
  adoption_add    step=0 fill=0.1000 @0.0000 status=reset_cleared cycle=29 cid=CQB_10008_CARRY_1774323225164
  entry           step=1 fill=0.0600 @90.0900 status=reset_cleared cycle=29 cid=CQB_10008_ENTRY_1_1774323367069
  adoption_reduce step=1 fill=0.0600 @0.0000 status=reset_cleared cycle=29 cid=CQB_10008_SHRINK_1774323439
  adoption_add    step=0 fill=0.1000 @0.0000 status=reset_cleared cycle=30 cid=CQB_10008_CARRY_1774323439049
  entry           step=1 fill=0.0600 @90.0600 status=reset_cleared cycle=30 cid=CQB_10008_ENTRY_1_1774323473314
  adoption_reduce step=1 fill=0.0600 @0.0000 status=reset_cleared cycle=30 cid=CQB_10008_SHRINK_1774323653
  adoption_add    step=0 fill=0.1000 @0.0000 status=reset_cleared cycle=31 cid=CQB_10008_CARRY_1774323653273
  entry           step=1 fill=0.0600 @90.1500 status=reset_cleared cycle=31 cid=CQB_10008_ENTRY_1_1774323687551
  adoption_reduce step=1 fill=0.0600 @0.0000 status=reset_cleared cycle=31 cid=CQB_10008_SHRINK_1774323715
  adoption_add    step=0 fill=0.1000 @0.0000 status=reset_cleared cycle=32 cid=CQB_10008_CARRY_1774323715614
  entry           step=1 fill=0.0600 @90.1200 status=reset_cleared cycle=32 cid=CQB_10008_ENTRY_1_1774323748348
  adoption_reduce step=1 fill=0.0600 @0.0000 status=reset_cleared cycle=32 cid=CQB_10008_SHRINK_1774323867
  adoption_add    step=0 fill=0.1000 @0.0000 status=reset_cleared cycle=33 cid=CQB_10008_CARRY_1774323867969
  entry           step=1 fill=0.0600 @90.1100 status=reset_cleared cycle=33 cid=CQB_10008_ENTRY_1_1774323898103
  adoption_reduce step=1 fill=0.0600 @0.0000 status=reset_cleared cycle=33 cid=CQB_10008_SHRINK_1774324084
  adoption_add    step=0 fill=0.1000 @0.0000 status=reset_cleared cycle=34 cid=CQB_10008_CARRY_1774324084939
  entry           step=1 fill=0.0600 @90.0800 status=reset_cleared cycle=34 cid=CQB_10008_ENTRY_1_1774324119512
  adoption_reduce step=1 fill=0.0600 @0.0000 status=reset_cleared cycle=34 cid=CQB_10008_SHRINK_1774324304
  adoption_add    step=0 fill=0.1000 @0.0000 status=reset_cleared cycle=35 cid=CQB_10008_CARRY_1774324304325
  entry           step=1 fill=0.0600 @90.0000 status=reset_cleared cycle=35 cid=CQB_10008_ENTRY_1_1774324338571
  adoption_reduce step=1 fill=0.0200 @90.0000 status=reset_cleared cycle=35 cid=CQB_10008_SHRINK_1774324643
  adoption_reduce step=1 fill=0.1000 @33.7500 status=reset_cleared cycle=35 cid=CQB_10008_SHRINK_1774324682
  adoption_reduce step=1 fill=0.0400 @0.0000 status=reset_cleared cycle=35 cid=CQB_10008_SHRINK_1774327153
  entry           step=1 fill=0.0600 @90.1400 status=reset_cleared cycle=36 cid=CQB_10008_ENTRY_1_1774327477775
  adoption_reduce step=1 fill=0.0600 @0.0000 status=reset_cleared cycle=36 cid=CQB_10008_SHRINK_1774327619
  entry           step=1 fill=0.0600 @89.9800 status=reset_cleared cycle=37 cid=CQB_10008_ENTRY_1_1774328981431
  adoption_reduce step=1 fill=0.0600 @0.0000 status=reset_cleared cycle=37 cid=CQB_10008_SHRINK_1774328994
  entry           step=1 fill=0.0600 @90.8500 status=reset_cleared cycle=38 cid=CQB_10008_ENTRY_1_1774408495295
  tp              step=1 fill=0.0600 @90.8500 status=reset_cleared cycle=38 cid=CQB_10008_TP_1_1774408509112
  entry           step=1 fill=0.0600 @90.8300 status=reset_cleared cycle=39 cid=CQB_10008_ENTRY_1_1774408560467
  tp              step=1 fill=0.0600 @91.6460 status=reset_cleared cycle=39 cid=CQB_10008_TP_1_1774412189059
  entry           step=1 fill=0.0600 @91.8800 status=reset_cleared cycle=40 cid=CQB_10008_ENTRY_1_1774425186774
  tp              step=1 fill=0.0600 @91.8800 status=reset_cleared cycle=40 cid=CQB_10008_TP_1_1774425206010
  entry           step=1 fill=0.0600 @91.8100 status=reset_cleared cycle=41 cid=CQB_10008_ENTRY_1_1774425685289
  tp              step=1 fill=0.0600 @92.2240 status=reset_cleared cycle=41 cid=CQB_10008_TP_1_1774432048159
  entry           step=1 fill=0.0600 @92.3300 status=reset_cleared cycle=42 cid=CQB_10008_ENTRY_1_1774441957700
  tp              step=1 fill=0.0600 @92.3300 status=reset_cleared cycle=42 cid=CQB_10008_TP_1_1774441983063
  entry           step=1 fill=0.0600 @92.5300 status=reset_cleared cycle=43 cid=CQB_10008_ENTRY_1_1774442139639
  adoption_add    step=1 fill=0.0900 @92.5600 status=reset_cleared cycle=43 cid=CQB_10008_SURPLUS_1774446411
  entry           step=1 fill=0.0600 @92.6900 status=reset_cleared cycle=43 cid=CQB_10008_ENTRY_1_1774447400428
  adoption_reduce step=1 fill=0.1500 @92.6900 status=reset_cleared cycle=43 cid=CQB_10008_SHRINK_1774447557
  entry           step=1 fill=0.0600 @92.5000 status=reset_cleared cycle=43 cid=CQB_10008_ENTRY_1_1774447578200
  grid            step=2 fill=2.5600 @91.9800 status=reset_cleared cycle=43 cid=CQB_10008_GRID_2_1774447799345
  grid            step=3 fill=3.8500 @91.3600 status=reset_cleared cycle=43 cid=CQB_10008_GRID_3_1774450800389
  tp              step=3 fill=3.0300 @91.7838 status=reset_cleared cycle=43 cid=CQB_10008_TP_3_1774455662038
  adoption_reduce step=3 fill=1.6300 @91.6258 status=reset_cleared cycle=43 cid=CQB_10008_SHRINK_1774455687
  adoption_add    step=1 fill=3.5000 @91.6258 status=reset_cleared cycle=43 cid=CQB_10008_SURPLUS_1774455894
  adoption_reduce step=5 fill=1.8300 @91.7277 status=reset_cleared cycle=43 cid=CQB_10008_SHRINK_1774456101
  adoption_add    step=1 fill=3.5400 @91.7277 status=reset_cleared cycle=43 cid=CQB_10008_SURPLUS_1774456309
  adoption_reduce step=5 fill=3.5400 @91.7512 status=reset_cleared cycle=43 cid=CQB_10008_SHRINK_1774456522
  adoption_add    step=1 fill=3.5400 @91.7512 status=reset_cleared cycle=43 cid=CQB_10008_SURPLUS_1774456730
  adoption_reduce step=5 fill=4.1900 @91.6258 status=reset_cleared cycle=43 cid=CQB_10008_SHRINK_1774456938
  tp              step=5 fill=17.2600 @92.0943 status=reset_cleared cycle=43 cid=CQB_10008_TP_5_1774462827257
  entry           step=1 fill=0.0600 @91.7300 status=reset_cleared cycle=44 cid=CQB_10008_ENTRY_1_1774464367710
  grid            step=2 fill=0.2900 @91.3300 status=reset_cleared cycle=44 cid=CQB_10008_GRID_2_1774464400405
  tp              step=2 fill=0.3500 @91.3969 status=reset_cleared cycle=44 cid=CQB_10008_TP_2_1774472007862
  entry           step=1 fill=0.0600 @91.2700 status=reset_cleared cycle=45 cid=CQB_10008_ENTRY_1_1774472901794
  tp              step=1 fill=0.0600 @91.6710 status=reset_cleared cycle=45 cid=CQB_10008_TP_1_1774478314224
  entry           step=1 fill=0.0600 @91.5000 status=reset_cleared cycle=46 cid=CQB_10008_ENTRY_1_1774491092993
  grid            step=2 fill=2.5800 @91.2600 status=cancelled cycle=46 cid=CQB_10008_GRID_2_1774491125731
  grid            step=3 fill=3.8800 @91.1400 status=reset_cleared cycle=46 cid=CQB_10008_GRID_3_1774491441454
  tp              step=3 fill=3.0300 @91.1907 status=canceled cycle=46 cid=CQB_10008_TP_3_1774491883509
  adoption_reduce step=3 fill=1.1700 @91.1907 status=reset_cleared cycle=46 cid=CQB_10008_SHRINK_1774491929
  adoption_add    step=1 fill=3.4900 @91.1907 status=reset_cleared cycle=46 cid=CQB_10008_SURPLUS_1774491944
  adoption_reduce step=5 fill=2.3200 @91.1907 status=reset_cleared cycle=46 cid=CQB_10008_SHRINK_1774492141
  adoption_add    step=1 fill=3.4900 @91.1907 status=reset_cleared cycle=46 cid=CQB_10008_SURPLUS_1774492352
  grid            step=6 fill=13.1600 @90.8300 status=cancelled cycle=46 cid=CQB_10008_GRID_6_1774492367449
  adoption_reduce step=6 fill=3.4900 @90.9056 status=reset_cleared cycle=46 cid=CQB_10008_SHRINK_1774492563
  adoption_reduce step=9 fill=10.0100 @90.9056 status=reset_cleared cycle=46 cid=CQB_10008_SHRINK_1774492578
  adoption_add    step=9 fill=10.0100 @90.9056 status=reset_cleared cycle=46 cid=CQB_10008_SURPLUS_1774492753
  adoption_reduce step=9 fill=20.0200 @90.9056 status=auto_closed cycle=46 cid=CQB_10008_SHRINK_1774492807
  adoption_reduce step=9 fill=20.0200 @90.9056 status=auto_closed cycle=46 cid=CQB_10008_SHRINK_1774493003
  adoption_reduce step=9 fill=20.0200 @90.9056 status=reset_cleared cycle=46 cid=CQB_10008_SHRINK_1774493214
  adoption_reduce step=9 fill=20.0200 @90.9056 status=reset_cleared cycle=46 cid=CQB_10008_SHRINK_1774493485
  adoption_reduce step=9 fill=20.0200 @90.9056 status=reset_cleared cycle=46 cid=CQB_10008_SHRINK_1774493841
  adoption_reduce step=9 fill=20.0200 @90.9056 status=reset_cleared cycle=46 cid=CQB_10008_SHRINK_1774494256
  adoption_reduce step=9 fill=20.0200 @90.9056 status=reset_cleared cycle=46 cid=CQB_10008_SHRINK_1774494277
  adoption_reduce step=9 fill=20.0200 @90.9056 status=reset_cleared cycle=46 cid=CQB_10008_SHRINK_1774494490
  adoption_reduce step=9 fill=20.0200 @90.9056 status=reset_cleared cycle=46 cid=CQB_10008_SHRINK_1774494902
  adoption_reduce step=9 fill=20.0200 @90.9056 status=reset_cleared cycle=46 cid=CQB_10008_SHRINK_1774494912
  grid            step=10 fill=0.3200 @90.3500 status=canceled cycle=46 cid=CQB_10008_GRID_10_1774500982055
  >>> NET QTY (ledger sum): 101.5100 | total_entry_cost: $31132.74 | avg_entry: 86.3120

--- Bot 10017 (xrp long) ---
  entry           step=1 fill=35.0000 @1.4465 status=reset_cleared cycle=10 cid=CQB_10017_ENTRY_1_1773626494419
  grid            step=1 fill=152.4000 @1.4457 status=reset_cleared cycle=10 cid=CQB_10017_GRID_1_1773626501164
  grid            step=2 fill=320.3000 @1.4449 status=reset_cleared cycle=10 cid=CQB_10017_GRID_2_1773626977624
  grid            step=3 fill=673.0000 @1.4441 status=reset_cleared cycle=10 cid=CQB_10017_GRID_3_1773627147248
  grid            step=4 fill=1414.2000 @1.4433 status=reset_cleared cycle=10 cid=CQB_10017_GRID_4_1773627228007
  grid            step=5 fill=2971.1000 @1.4426 status=reset_cleared cycle=10 cid=CQB_10017_GRID_5_1773627270942
  grid            step=6 fill=6242.5000 @1.4414 status=reset_cleared cycle=10 cid=CQB_10017_GRID_6_1773627335516
  grid            step=7 fill=13120.2000 @1.4404 status=reset_cleared cycle=10 cid=CQB_10017_GRID_7_1773627343129
  grid            step=9 fill=57916.3000 @1.4387 status=reset_cleared cycle=10 cid=CQB_10017_GRID_9_1773627414858
  tp              step=9 fill=82845.0000 @1.4396 status=reset_cleared cycle=10 cid=CQB_10017_TP_9_1773627746387
  entry           step=1 fill=24.3000 @1.4397 status=reset_cleared cycle=11 cid=CQB_10017_ENTRY_1_1773629288296
  grid            step=1 fill=153.1000 @1.4391 status=reset_cleared cycle=11 cid=CQB_10017_GRID_1_1773629301502
  tp              step=1 fill=177.4000 @1.4674 status=reset_cleared cycle=11 cid=CQB_10017_TP_1_1773633784277
  entry           step=1 fill=71.0000 @1.4783 status=reset_cleared cycle=14 cid=CQB_10017_ENTRY_1_1773650072106
  grid            step=2 fill=313.1000 @1.4775 status=reset_cleared cycle=14 cid=CQB_10017_GRID_2_1773650094814
  grid            step=3 fill=658.7000 @1.4753 status=reset_cleared cycle=14 cid=CQB_10017_GRID_3_1773650102133
  grid            step=4 fill=1385.7000 @1.4728 status=reset_cleared cycle=14 cid=CQB_10017_GRID_4_1773650109473
  grid            step=5 fill=2912.6000 @1.4708 status=reset_cleared cycle=14 cid=CQB_10017_GRID_5_1773650354424
  entry           step=1 fill=31.9000 @1.5963 status=reset_cleared cycle=16 cid=CQB_10017_ENTRY_1_1773716322051
  entry           step=1 fill=18.0000 @1.5876 status=reset_cleared cycle=18 cid=CQB_10017_ENTRY_1_1773716846784
  grid            step=1 fill=138.9000 @1.5853 status=reset_cleared cycle=18 cid=CQB_10017_GRID_1_1773716853634
  grid            step=3 fill=617.2000 @1.5729 status=reset_cleared cycle=18 cid=CQB_10017_GRID_3_1773717576494
  grid            step=4 fill=1298.0000 @1.5714 status=reset_cleared cycle=18 cid=CQB_10017_GRID_4_1773717802711
  grid            step=5 fill=2729.0000 @1.5708 status=reset_cleared cycle=18 cid=CQB_10017_GRID_5_1773717817806
  grid            step=6 fill=5733.3000 @1.5695 status=reset_cleared cycle=18 cid=CQB_10017_GRID_6_1773717833397
  grid            step=7 fill=12052.3000 @1.5679 status=reset_cleared cycle=18 cid=CQB_10017_GRID_7_1773717886656
  grid            step=8 fill=25337.5000 @1.5648 status=reset_cleared cycle=18 cid=CQB_10017_GRID_8_1773718046866
  entry           step=1 fill=69.7000 @1.4646 status=reset_cleared cycle=20 cid=CQB_10017_ENTRY_1_1773877319229
  grid            step=3 fill=69.7000 @1.4633 status=reset_cleared cycle=20 cid=CQB_10017_GRID_3_1773877473710
  grid            step=4 fill=69.7000 @1.4623 status=reset_cleared cycle=20 cid=CQB_10017_GRID_4_1773877514631
  grid            step=5 fill=146.5000 @1.4627 status=reset_cleared cycle=20 cid=CQB_10017_GRID_5_1773878159270
  grid            step=6 fill=307.8000 @1.4624 status=reset_cleared cycle=20 cid=CQB_10017_GRID_6_1773878173804
  grid            step=7 fill=647.7000 @1.4587 status=reset_cleared cycle=20 cid=CQB_10017_GRID_7_1773879104230
  tp              step=7 fill=1380.7000 @1.4630 status=reset_cleared cycle=20 cid=CQB_10017_TP_7_1773883395123
  entry           step=1 fill=71.7000 @1.4664 status=reset_cleared cycle=21 cid=CQB_10017_ENTRY_1_1773884841504
  grid            step=2 fill=315.8000 @1.4655 status=reset_cleared cycle=21 cid=CQB_10017_GRID_2_1773884914658
  tp              step=2 fill=387.6000 @1.4734 status=reset_cleared cycle=21 cid=CQB_10017_TP_2_1773890746365
  entry           step=1 fill=71.2000 @1.4777 status=reset_cleared cycle=22 cid=CQB_10017_ENTRY_1_1773891037742
  adoption_add    step=0 fill=70.7000 @1.4436 status=reset_cleared cycle=23 cid=CQB_10017_SYNC_1773985409983
  tp              step=1 fill=70.7000 @1.4436 status=reset_cleared cycle=23 cid=CQB_10017_TP_1_1773994230320
  entry           step=1 fill=3.5000 @1.4633 status=reset_cleared cycle=24 cid=CQB_10017_ENTRY_1_1773994271471
  grid            step=2 fill=15.8000 @1.4629 status=reset_cleared cycle=24 cid=CQB_10017_GRID_2_1773994291965
  adoption_add    step=1 fill=7.8000 @1.4631 status=reset_cleared cycle=24 cid=CQB_10017_ADOPT_1773994428
  adoption_add    step=1 fill=52.5000 @1.4622 status=reset_cleared cycle=24 cid=CQB_10017_ADOPT_1774223412
  adoption_reduce step=0 fill=27.1000 @1.4622 status=reset_cleared cycle=24 cid=CQB_10017_SYNC_1774223436539
  grid            step=2 fill=16.6000 @1.3839 status=reset_cleared cycle=24 cid=CQB_10017_GRID_2_1774223450379
  grid            step=3 fill=35.1000 @1.3828 status=reset_cleared cycle=24 cid=CQB_10017_GRID_3_1774223645618
  grid            step=4 fill=32.5000 @1.3816 status=reset_cleared cycle=24 cid=CQB_10017_GRID_4_1774225942038
  grid            step=5 fill=155.1000 @1.3799 status=reset_cleared cycle=24 cid=CQB_10017_GRID_5_1774226010892
  grid            step=6 fill=326.1000 @1.3786 status=reset_cleared cycle=24 cid=CQB_10017_GRID_6_1774226124108
  grid            step=7 fill=685.2000 @1.3779 status=reset_cleared cycle=24 cid=CQB_10017_GRID_7_1774226186420
  grid            step=8 fill=1441.2000 @1.3754 status=reset_cleared cycle=24 cid=CQB_10017_GRID_8_1774226219910
  tp              step=8 fill=2744.3000 @1.3818 status=reset_cleared cycle=24 cid=CQB_10017_TP_8_1774226461179
  entry           step=1 fill=3.7000 @1.3797 status=reset_cleared cycle=25 cid=CQB_10017_ENTRY_1_1774227162710
  grid            step=2 fill=16.8000 @1.3771 status=reset_cleared cycle=25 cid=CQB_10017_GRID_2_1774227170911
  grid            step=3 fill=35.2000 @1.3764 status=reset_cleared cycle=25 cid=CQB_10017_GRID_3_1774227635942
  grid            step=4 fill=74.2000 @1.3756 status=reset_cleared cycle=25 cid=CQB_10017_GRID_4_1774227684149
  tp              step=4 fill=13.4000 @1.3838 status=reset_cleared cycle=25 cid=CQB_10017_TP_4_1774235284412
  tp              step=4 fill=12.8000 @1.3838 status=reset_cleared cycle=25 cid=CQB_10017_TP_4_1774235298979
  adoption_add    step=1 fill=116.5000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774235300
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774235330
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774235331
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774235540
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774235748
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774235965
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774236181
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774236181
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774236391
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774236616
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774236833
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774236834
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774237057
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774237059
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774237269
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774237493
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774237711
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774237712
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774237921
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774238144
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774238147
  adoption_add    step=1 fill=103.7000 @1.3761 status=reset_cleared cycle=25 cid=CQB_10017_ADOPT_1774238365
